action/timestep,action/mean_token_entropy,action/cum_mean_token_entropy,action/max_token_entropy,action/cum_max_token_entropy,action/mean_token_prob,action/cum_mean_token_prob,action/max_token_prob,action/cum_max_token_prob,action/token_0_entropy,action/cum_token_0_entropy,action/token_0_prob,action/cum_token_0_prob,action/token_1_entropy,action/cum_token_1_entropy,action/token_1_prob,action/cum_token_1_prob,action/token_2_entropy,action/cum_token_2_entropy,action/token_2_prob,action/cum_token_2_prob,action/token_3_entropy,action/cum_token_3_entropy,action/token_3_prob,action/cum_token_3_prob,action/token_4_entropy,action/cum_token_4_entropy,action/token_4_prob,action/cum_token_4_prob,action/token_5_entropy,action/cum_token_5_entropy,action/token_5_prob,action/cum_token_5_prob,action/token_6_entropy,action/cum_token_6_entropy,action/token_6_prob,action/cum_token_6_prob,action/dx,action/dy,action/dz,action/droll,action/dpitch,action/dyaw,action/dgripper,action/dpos,action/drot,action/cum_dpos,action/cum_drot
0,1.2318410873413086,1.2318410873413086,2.9798083305358887,2.9798083305358887,0.6304582953453064,0.6304582953453064,0.9987244009971619,0.9987244009971619,2.9798083305358887,2.9798083305358887,0.4032219648361206,0.4032219648361206,1.1735446453094482,1.1735446453094482,0.7132701873779297,0.7132701873779297,0.1996859759092331,0.1996859759092331,0.967044472694397,0.967044472694397,2.016305923461914,2.016305923461914,0.23261913657188416,0.23261913657188416,1.1445459127426147,1.1445459127426147,0.49540653824806213,0.49540653824806213,1.0971958637237549,1.0971958637237549,0.6029215455055237,0.6029215455055237,0.011800944805145264,0.011800944805145264,0.9987244009971619,0.9987244009971619,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,0.002415496107409834,0.0018988609822357116,0.004768682880728764,0.996078431372549,0.002208785615114779,0.005672797448501472,0.002208785615114779,0.005672797448501472
1,1.0474119186401367,2.2792530059814453,3.3240394592285156,6.303847789764404,0.7238520383834839,1.3543103337287903,0.9950487017631531,1.993773102760315,3.3240394592285156,6.303847789764404,0.33668068051338196,0.7399026453495026,1.0851352214813232,2.2586798667907715,0.7702944278717041,1.4835646152496338,0.31593361496925354,0.5156195908784866,0.9375582933425903,1.9046027660369873,1.8231544494628906,3.8394603729248047,0.2908817231655121,0.5235008597373962,0.5703532099723816,1.7148991227149963,0.772696852684021,1.2681033909320831,0.17932182550430298,1.2765176892280579,0.9638038873672485,1.5667254328727722,0.03394503891468048,0.045745983719825745,0.9950487017631531,1.993773102760315,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.00013888080797956615,-0.0014504625534310367,0.007992279028191218,0.996078431372549,0.002208785615114779,0.00812401708283506,0.004417571230229558,0.013796814531336533
2,1.251314640045166,3.5305676460266113,3.653289556503296,9.9571373462677,0.6380276083946228,1.992337942123413,0.9969742298126221,2.990747332572937,3.653289556503296,9.9571373462677,0.2726704180240631,1.0125730633735657,1.8795920610427856,4.138271927833557,0.31495270133018494,1.7985173165798187,0.5798910856246948,1.0955106765031815,0.8684487342834473,2.7730515003204346,1.8179700374603271,5.657430410385132,0.34416788816452026,0.8676687479019165,0.6541426777839661,2.3690418004989624,0.7006064057350159,1.968709796667099,0.15039485692977905,1.426912546157837,0.9683728218078613,2.5350982546806335,0.023921586573123932,0.06966757029294968,0.9969742298126221,2.990747332572937,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.00013888080797956615,-0.0014504625534310367,0.007992279028191218,0.996078431372549,0.002208785615114779,0.00812401708283506,0.006626356845344337,0.021920831614171594
3,1.2837790250778198,4.814346671104431,4.0842695236206055,14.041406869888306,0.6684876084327698,2.660825550556183,0.9957067370414734,3.9864540696144104,4.0842695236206055,14.041406869888306,0.14611311256885529,1.158686175942421,1.6615972518920898,5.799869179725647,0.49928444623947144,2.29780176281929,0.3781079053878784,1.4736185818910599,0.9215651154518127,3.6946166157722473,1.9021490812301636,7.559579491615295,0.3451800048351288,1.2128487527370453,0.5520867109298706,2.921128511428833,0.8738963603973389,2.842606157064438,0.3737733066082001,1.800685852766037,0.8976667523384094,3.432765007019043,0.034469105303287506,0.10413667559623718,0.9957067370414734,3.9864540696144104,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.0033318519522163442,0.0012289962751023675,0.004768682880728764,0.996078431372549,0.002208785615114779,0.005945755266798234,0.008835142460459116,0.027866586880969827
4,1.0132184028625488,5.82756507396698,2.9987707138061523,17.040177583694458,0.7376992702484131,3.398524820804596,0.9944483041763306,4.980902373790741,2.9987707138061523,17.040177583694458,0.4045521318912506,1.5632383078336716,1.1902872323989868,6.990156412124634,0.6769465804100037,2.974748343229294,0.6602671146392822,2.133885696530342,0.8201087117195129,4.51472532749176,1.9802005290985107,9.539780020713806,0.310474693775177,1.5233234465122223,0.1504259556531906,3.0715544670820236,0.9684019088745117,3.8110080659389496,0.0707416757941246,1.8714275285601616,0.9889623522758484,4.421727359294891,0.04183563217520714,0.14597230777144432,0.9944483041763306,4.980902373790741,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.0020546634945216302,0.0012289962751023675,0.004768682880728764,0.996078431372549,0.002208785615114779,0.005335954491643544,0.011043928075573896,0.03320254137261337
5,1.197652816772461,7.025217890739441,3.016082286834717,20.056259870529175,0.693343997001648,4.091868817806244,0.993529736995697,5.974432110786438,3.016082286834717,20.056259870529175,0.4203897714614868,1.9836280792951584,1.7758716344833374,8.766028046607971,0.48109057545661926,3.455838918685913,0.45545193552970886,2.589337632060051,0.8987570405006409,5.413482367992401,1.5850775241851807,11.124857544898987,0.5294938683509827,2.052817314863205,1.197437047958374,4.268991515040398,0.6039973497390747,4.415005415678024,0.3006146252155304,2.172042153775692,0.9261494874954224,5.347876846790314,0.05303420498967171,0.19900651276111603,0.993529736995697,5.974432110786438,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.0033318519522163442,0.0012289962751023675,0.004768682880728764,0.996078431372549,0.002208785615114779,0.005945755266798234,0.013252713690688676,0.039148296639411606
6,0.9706970453262329,7.995914936065674,3.1342484951019287,23.190508365631104,0.7732222080230713,4.865091025829315,0.9994351267814636,6.973867237567902,3.1342484951019287,23.190508365631104,0.3029441237449646,2.286572203040123,1.8059606552124023,10.571988701820374,0.5430681705474854,3.9989070892333984,0.10790933668613434,2.6972469687461853,0.9822653532028198,6.395747721195221,0.8900117874145508,12.014869332313538,0.8038195967674255,2.8566369116306305,0.29957717657089233,4.56856869161129,0.9362146854400635,5.351220101118088,0.5514068603515625,2.7234490141272545,0.8448081612586975,6.192685008049011,0.005765085108578205,0.20477159786969423,0.9994351267814636,6.973867237567902,-0.00043246156327866186,-0.0013954019739347845,-0.0018001954630017317,-0.024405461504178987,0.0005591315679690234,-0.01940828822523946,0.996078431372549,0.002318377315621108,0.03118686953152289,0.015571091006309785,0.0703351661709345
7,1.0456960201263428,9.041610956192017,3.0480027198791504,26.238511085510254,0.6851269602775574,5.550217986106873,0.9975675344467163,7.971434772014618,3.0480027198791504,26.238511085510254,0.3954728841781616,2.6820450872182846,1.1707849502563477,11.742773652076721,0.716404914855957,4.7153120040893555,0.27022841572761536,2.9674753844738007,0.9487800002098083,7.344527721405029,1.9797109365463257,13.994580268859863,0.22361940145492554,3.080256313085556,0.7721795439720154,5.340748235583305,0.5238483548164368,5.8750684559345245,0.05999399721622467,2.783443011343479,0.9901952147483826,7.182880222797394,0.018970966339111328,0.22374256420880556,0.9975675344467163,7.971434772014618,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.00013888080797956615,-0.0014504625534310367,0.007992279028191218,0.996078431372549,0.002208785615114779,0.00812401708283506,0.017779876621424565,0.07845918325376955
8,1.0685155391693115,10.110126495361328,3.039783000946045,29.2782940864563,0.7185434699058533,6.268761456012726,0.9936700463294983,8.965104818344116,3.039783000946045,29.2782940864563,0.40657925605773926,3.088624343276024,1.609200119972229,13.35197377204895,0.5006685256958008,5.215980529785156,0.5103448629379272,3.477820247411728,0.8937122225761414,8.23823994398117,1.8627538681030273,15.85733413696289,0.32944631576538086,3.409702628850937,0.291791170835495,5.6325394064188,0.9260772466659546,6.801145702600479,0.11795495450496674,2.901397965848446,0.9796504974365234,8.162530720233917,0.04778032749891281,0.2715228917077184,0.9936700463294983,8.965104818344116,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.0020546634945216302,0.0012289962751023675,0.004768682880728764,0.996078431372549,0.002208785615114779,0.005335954491643544,0.019988662236539344,0.0837951377454131
9,1.0809645652770996,11.191091060638428,3.696657419204712,32.97495150566101,0.7358856797218323,7.004647135734558,0.9922540187835693,9.957358837127686,3.696657419204712,32.97495150566101,0.25182560086250305,3.340449944138527,0.830138087272644,14.182111859321594,0.8326113820075989,6.048591911792755,0.6574660539627075,4.135286301374435,0.8534033298492432,9.091643273830414,1.706753134727478,17.56408727169037,0.4258585274219513,3.835561156272888,0.5065762996673584,6.139115706086159,0.8138929009437561,7.615038603544235,0.11047320812940598,3.011871173977852,0.9813534021377563,9.143884122371674,0.05868726223707199,0.33021015394479036,0.9922540187835693,9.957358837127686,-0.00043246156327866186,0.0021659560519105767,1.8581469707623643e-05,-0.0020546634945216302,0.0012289962751023675,0.004768682880728764,0.996078431372549,0.002208785615114779,0.005335954491643544,0.022197447851654124,0.08913109223705665
