action/timestep,action/mean_token_entropy,action/cum_mean_token_entropy,action/max_token_entropy,action/cum_max_token_entropy,action/mean_token_prob,action/cum_mean_token_prob,action/max_token_prob,action/cum_max_token_prob,action/token_0_entropy,action/cum_token_0_entropy,action/token_0_prob,action/cum_token_0_prob,action/token_1_entropy,action/cum_token_1_entropy,action/token_1_prob,action/cum_token_1_prob,action/token_2_entropy,action/cum_token_2_entropy,action/token_2_prob,action/cum_token_2_prob,action/token_3_entropy,action/cum_token_3_entropy,action/token_3_prob,action/cum_token_3_prob,action/token_4_entropy,action/cum_token_4_entropy,action/token_4_prob,action/cum_token_4_prob,action/token_5_entropy,action/cum_token_5_entropy,action/token_5_prob,action/cum_token_5_prob,action/token_6_entropy,action/cum_token_6_entropy,action/token_6_prob,action/cum_token_6_prob,action/dx,action/dy,action/dz,action/droll,action/dpitch,action/dyaw,action/dgripper,action/dpos,action/drot,action/cum_dpos,action/cum_drot
0,1.1693931818008423,1.1693931818008423,3.2685418128967285,3.2685418128967285,0.6239078044891357,0.6239078044891357,0.9999958276748657,0.9999958276748657,3.2685418128967285,3.2685418128967285,0.15899696946144104,0.15899696946144104,0.47114935517311096,0.47114935517311096,0.9129306077957153,0.9129306077957153,1.208705186843872,1.208705186843872,0.5684889554977417,0.5684889554977417,1.0157744884490967,1.0157744884490967,0.6823692917823792,0.6823692917823792,1.410360336303711,1.410360336303711,0.49537622928619385,0.49537622928619385,0.8111579418182373,0.8111579418182373,0.5491968989372253,0.5491968989372253,6.273613689700142e-05,6.273613689700142e-05,0.9999958276748657,0.9999958276748657,-0.00043246156327866186,-0.002042921614997577,-0.005957399880623118,-0.012272171156079273,-0.0228861331816982,-0.011349297856583396,0.996078431372549,0.006312777919932403,0.028340568779260236,0.006312777919932403,0.028340568779260236
1,1.4013210535049438,2.570714235305786,2.868147611618042,6.1366894245147705,0.5949095487594604,1.2188173532485962,0.9998422861099243,1.99983811378479,2.868147611618042,6.1366894245147705,0.19612450897693634,0.3551214784383774,1.5008587837219238,1.9720081388950348,0.6557263135910034,1.5686569213867188,1.3745989799499512,2.5833041667938232,0.6975576877593994,1.2660466432571411,0.08404717594385147,1.0998216643929482,0.9889572262763977,1.6713265180587769,1.6778695583343506,3.0882298946380615,0.42914047837257385,0.9245167076587677,2.301912784576416,3.1130707263946533,0.19701819121837616,0.7462150901556015,0.0018116598948836327,0.001874396031780634,0.9998422861099243,1.99983811378479,0.007396136879920936,-0.007546838564031308,-0.02128709117060199,0.05031006327096131,0.07357438464550405,-0.14029314375508067,0.996078431372549,0.02376547629574459,0.16621208959331582,0.030078254215676992,0.19455265837257607
2,1.3036012649536133,3.8743155002593994,3.1791279315948486,9.31581735610962,0.5881350040435791,1.8069523572921753,0.9999959468841553,2.9998340606689453,3.1791279315948486,9.31581735610962,0.16540516912937164,0.520526647567749,0.9374721050262451,2.90948024392128,0.8147730231285095,2.3834299445152283,0.8371269106864929,3.420431077480316,0.7608488202095032,2.0268954634666443,1.5472385883331299,2.647060252726078,0.43113020062446594,2.102456718683243,0.9781404137611389,4.0663703083992,0.585803747177124,1.5103204548358917,1.6460354328155518,4.759106159210205,0.35898780822753906,1.1052028983831406,6.724879494868219e-05,0.0019416448267293163,0.9999959468841553,2.9998340606689453,0.003146326296469725,-0.0007478823328719852,0.005994562820038369,0.008801438395883376,0.026013990439036266,-0.02424368244643313,0.996078431372549,0.00681127598553056,0.03663262418886054,0.036889530201207554,0.2311852825614366
3,1.1504802703857422,5.024795770645142,3.455408811569214,12.771226167678833,0.6496562957763672,2.4566086530685425,0.9983955025672913,3.9982295632362366,3.455408811569214,12.771226167678833,0.16026291251182556,0.6807895600795746,0.17186810076236725,3.081348344683647,0.975540816783905,3.3589707612991333,0.9705519080162048,4.390982985496521,0.537589430809021,2.5644848942756653,0.9276506304740906,3.5747108832001686,0.7029753923416138,2.8054321110248566,1.5538188219070435,5.620189130306244,0.37577885389328003,1.8860993087291718,0.9577895402908325,5.716895699501038,0.797050952911377,1.9022538512945175,0.01627422124147415,0.018215866068203468,0.9983955025672913,3.9982295632362366,-0.00043246156327866186,-0.002042921614997577,-0.005957399880623118,-0.012272171156079273,0.0005591315679690234,-0.04842065355240138,0.996078431372549,0.006312777919932403,0.04995476457192131,0.043202308121139954,0.28114004713335794
4,1.5089088678359985,6.53370463848114,2.3758738040924072,15.14709997177124,0.5324791073799133,2.989087760448456,0.9787430763244629,4.9769726395606995,2.2052059173583984,14.976432085037231,0.32858410477638245,1.009373664855957,1.2649946212768555,4.346342965960503,0.5604711174964905,3.919441878795624,0.1368413269519806,4.527824312448502,0.9787430763244629,3.543227970600128,2.3758738040924072,5.950584687292576,0.24640966951847076,3.0518417805433273,2.1189370155334473,7.739126145839691,0.38900139927864075,2.2751007080078125,1.3571269512176514,7.074022650718689,0.45642581582069397,2.3586796671152115,1.1033822298049927,1.1215980958731961,0.7677184343338013,4.765947997570038,-0.004905946387964152,0.011878750667852454,-0.004138622947913766,0.006885655709341312,0.050129119895836835,0.20301984594966835,0.996078431372549,0.013501897173937523,0.20923049195924057,0.05670420529507748,0.49037053909259853
5,1.259464979171753,7.793169617652893,2.2682995796203613,17.4153995513916,0.6077045798301697,3.5967923402786255,0.988353967666626,5.965326607227325,0.9997884631156921,15.976220548152924,0.6226688027381897,1.6320424675941467,0.7818527221679688,5.128195688128471,0.7830832600593567,4.7025251388549805,0.07395821809768677,4.601782530546188,0.988353967666626,4.531581938266754,1.3533192873001099,7.303903974592686,0.6242631077766418,3.676104888319969,2.2682995796203613,10.007425725460052,0.3115391433238983,2.586639851331711,1.1723005771636963,8.246323227882385,0.5634148716926575,2.922094538807869,2.1667356491088867,3.288333744982083,0.3606092035770416,5.1265572011470795,-0.004905946387964152,0.004432274795630346,-0.01842901313348728,0.030513642176693376,0.07759357288830414,0.033781048207890685,0.996078431372549,0.019579118848911593,0.08996112566260875,0.07628332414398907,0.5803316647552073
6,0.8964498043060303,8.689619421958923,1.448173999786377,18.86357355117798,0.7226696610450745,4.3194620013237,0.943565845489502,6.908892452716827,0.26896992325782776,16.24519047141075,0.943565845489502,2.5756083130836487,1.448173999786377,6.576369687914848,0.3910914957523346,5.093616634607315,1.1605106592178345,5.762293189764023,0.7085536122322083,5.240135550498962,0.9338189363479614,8.237722910940647,0.7324789762496948,4.408583864569664,0.4610351622104645,10.468460887670517,0.9043275117874146,3.4909673631191254,1.2375807762145996,9.483904004096985,0.5509206652641296,3.4730152040719986,0.7650588750839233,4.053392620066006,0.8277490735054016,5.954306274652481,-0.005129620629198427,-0.00010036269180919988,-0.023105868103311344,0.04009255560940367,0.06687573757417058,-0.016184692077777035,0.996078431372549,0.023668633701103788,0.079634926690711,0.09995195784509286,0.6599665914459183
7,0.9698672890663147,9.659486711025238,2.48345947265625,21.34703302383423,0.7352878451347351,5.054749846458435,0.9707960486412048,7.879688501358032,0.7754383087158203,17.02062878012657,0.7632661461830139,3.3388744592666626,0.8385246992111206,7.414894387125969,0.7984760403633118,5.892092674970627,0.7768658399581909,6.539159029722214,0.7826216220855713,6.022757172584534,0.18413880467414856,8.421861715614796,0.9707960486412048,5.379379913210869,0.6493699550628662,11.117830842733383,0.8651034832000732,4.356070846319199,1.0812734365463257,10.56517744064331,0.6194024085998535,4.092417612671852,2.48345947265625,6.536852092722256,0.3473489582538605,6.3016552329063416,-0.004234923664261325,-0.0007478823328719852,-0.015830760372473916,0.009440032624730726,0.04610993165303674,-0.014572894004045822,0.996078431372549,0.016404477449667,0.04927077483312856,0.11635643529475986,0.7092373662790469
8,0.9002192616462708,10.559705972671509,1.6845279932022095,23.031561017036438,0.7258185148239136,5.780568361282349,0.9871101379394531,8.866798639297485,0.6935676336288452,17.714196413755417,0.8713549375534058,4.210229396820068,1.6845279932022095,9.099422380328178,0.34644433856010437,6.238537013530731,1.0595638751983643,7.598722904920578,0.7742264270782471,6.796983599662781,1.2099840641021729,9.631845779716969,0.44910284876823425,5.828482761979103,1.431050419807434,12.548881262540817,0.6703078746795654,5.026378720998764,0.0881253331899643,10.653302773833275,0.9871101379394531,5.079527750611305,0.1347154974937439,6.671567590216,0.9821828007698059,7.2838380336761475,-0.02861541595879723,0.0015184364108477844,-0.008815477917737825,-0.025682649961873687,0.06486614345277052,-0.20637686477806055,0.996078431372549,0.029980999492126653,0.2178500066355781,0.14633743478688652,0.927087372914625
9,0.5305806398391724,11.090286612510681,1.390802264213562,24.42236328125,0.7956175208091736,6.576185882091522,0.9930526614189148,9.8598513007164,0.31498679518699646,18.029183208942413,0.9473321437835693,5.157561540603638,0.2659212052822113,9.36534358561039,0.9540282487869263,7.1925652623176575,0.061705559492111206,7.660428464412689,0.9930526614189148,7.790036261081696,1.390802264213562,11.02264804393053,0.490832656621933,6.319315418601036,0.6825024485588074,13.231383711099625,0.6966357231140137,5.723014444112778,0.0631725937128067,10.716475367546082,0.9904158115386963,6.0699435621500015,0.9349732398986816,7.606540830114682,0.4970255196094513,7.780863553285599,-0.008708408488946818,-0.0078705983845627,-0.017389712029081936,-0.0703842459811884,0.02936331397470303,-0.20637686477806055,0.996078431372549,0.020980581064304178,0.22001717343321026,0.1673180158511907,1.147104546347835
