action/timestep,action/mean_token_entropy,action/cum_mean_token_entropy,action/max_token_entropy,action/cum_max_token_entropy,action/mean_token_prob,action/cum_mean_token_prob,action/max_token_prob,action/cum_max_token_prob,action/token_0_entropy,action/cum_token_0_entropy,action/token_0_prob,action/cum_token_0_prob,action/token_1_entropy,action/cum_token_1_entropy,action/token_1_prob,action/cum_token_1_prob,action/token_2_entropy,action/cum_token_2_entropy,action/token_2_prob,action/cum_token_2_prob,action/token_3_entropy,action/cum_token_3_entropy,action/token_3_prob,action/cum_token_3_prob,action/token_4_entropy,action/cum_token_4_entropy,action/token_4_prob,action/cum_token_4_prob,action/token_5_entropy,action/cum_token_5_entropy,action/token_5_prob,action/cum_token_5_prob,action/token_6_entropy,action/cum_token_6_entropy,action/token_6_prob,action/cum_token_6_prob,action/dx,action/dy,action/dz,action/droll,action/dpitch,action/dyaw,action/dgripper,action/dpos,action/drot,action/cum_dpos,action/cum_drot
0,1.262539267539978,1.262539267539978,3.339625597000122,3.339625597000122,0.6313939094543457,0.6313939094543457,0.9999517202377319,0.9999517202377319,3.339625597000122,3.339625597000122,0.22025816142559052,0.22025816142559052,1.357476830482483,1.357476830482483,0.49475106596946716,0.49475106596946716,0.20666688680648804,0.20666688680648804,0.9695218205451965,0.9695218205451965,0.7330360412597656,0.7330360412597656,0.8085995316505432,0.8085995316505432,1.5240695476531982,1.5240695476531982,0.5991392135620117,0.5991392135620117,1.676222562789917,1.676222562789917,0.3275358974933624,0.3275358974933624,0.0006770282052457333,0.0006770282052457333,0.9999517202377319,0.9999517202377319,0.006277765673749571,-0.006575559102437116,-0.011933381230953864,-0.05122641911576781,-0.011498433160431268,-0.06937402851090715,0.996078431372549,0.015001796791299166,0.0870006655859676,0.015001796791299166,0.0870006655859676
1,1.0841155052185059,2.346654772758484,1.8867080211639404,5.2263336181640625,0.6532523036003113,1.284646213054657,0.9994897842407227,1.9994415044784546,1.8867080211639404,5.2263336181640625,0.6669578552246094,0.8872160166501999,1.3490813970565796,2.7065582275390625,0.40405553579330444,0.8988066017627716,0.41093575954437256,0.6176026463508606,0.933172345161438,1.9026941657066345,0.8918416500091553,1.624877691268921,0.7293463349342346,1.5379458665847778,1.4083633422851562,2.9324328899383545,0.5790650844573975,1.1782042980194092,1.635430932044983,3.3116534948349,0.2606789171695709,0.5882148146629333,0.00644641974940896,0.007123447954654694,0.9994897842407227,1.9994415044784546,0.006277765673749571,-0.006575559102437116,-0.011933381230953864,-0.05122641911576781,-0.011498433160431268,-0.025855480520164342,0.996078431372549,0.015001796791299166,0.058522353451461645,0.030003593582598333,0.14552301903742926
2,0.948860228061676,3.29551500082016,2.2633132934570312,7.489646911621094,0.7166996598243713,2.0013458728790283,0.9999973773956299,2.9994388818740845,2.2633132934570312,7.489646911621094,0.581726610660553,1.4689426273107529,1.0581623315811157,3.7647205591201782,0.6523389220237732,1.5511455237865448,0.23742277920246124,0.8550254255533218,0.9630825519561768,2.8657767176628113,0.8538814783096313,2.4787591695785522,0.6612738370895386,2.1992197036743164,1.2082035541534424,4.140636444091797,0.4417255222797394,1.6199298202991486,1.0209898948669434,4.332643389701843,0.7167520523071289,1.3049668669700623,4.825776704819873e-05,0.007171705721702892,0.9999973773956299,2.9994388818740845,0.006277765673749571,-0.006575559102437116,-0.011933381230953864,-0.05122641911576781,-0.011498433160431268,-0.14029314375508067,0.996078431372549,0.015001796791299166,0.14979494706181826,0.0450053903738975,0.29531796609924754
3,1.67574942111969,4.97126442193985,3.5555286407470703,11.045175552368164,0.5446495413780212,2.5459954142570496,0.998863697052002,3.9983025789260864,3.3752529621124268,10.86489987373352,0.19276417791843414,1.661706805229187,3.5555286407470703,7.3202491998672485,0.1590719223022461,1.710217446088791,0.12148810178041458,0.9765135273337364,0.9831573367118835,3.848934054374695,2.1265106201171875,4.60526978969574,0.32419636845588684,2.5234160721302032,0.9476076364517212,5.088244080543518,0.5686730146408081,2.1886028349399567,1.5924668312072754,5.925110220909119,0.5858202576637268,1.890787124633789,0.011391515843570232,0.018563221565273125,0.998863697052002,3.9983025789260864,0.02819784131470845,-0.01952595192369295,-0.018948663685689954,-0.021212490359942215,-0.020876539060298155,-0.03713806703628286,0.996078431372549,0.039184600403847844,0.0475923907111025,0.08418999077774535,0.34291035681035004
4,1.136057734489441,6.107322156429291,2.359266757965088,13.404442310333252,0.6570301055908203,3.20302551984787,0.9461690783500671,4.944471657276154,2.359266757965088,13.224166631698608,0.29457879066467285,1.9562855958938599,0.3670799136161804,7.687329113483429,0.9313557147979736,2.6415731608867645,0.7855607867240906,1.762074314057827,0.7877177000045776,4.6366517543792725,1.804679274559021,6.409949064254761,0.49072200059890747,3.0141380727291107,0.6471322178840637,5.735376298427582,0.805899977684021,2.9945028126239777,1.688004732131958,7.613114953041077,0.34276726841926575,2.233554393053055,0.30068033933639526,0.3192435609016684,0.9461690783500671,4.944471657276154,0.0199218943890403,0.0008709167697849851,-0.017649537305183274,0.036899584465166904,0.02936331397470303,0.02088666361804095,0.996078431372549,0.026629805465962837,0.051575539341553886,0.11081979624370819,0.39448589615190394
5,0.403908371925354,6.511230528354645,1.0972199440002441,14.501662254333496,0.8924072980880737,4.095432817935944,0.9990691542625427,5.943540811538696,0.19508907198905945,13.419255703687668,0.9711206555366516,2.9274062514305115,1.0972199440002441,8.784549057483673,0.6751843094825745,3.316757470369339,0.16908711194992065,1.9311614260077477,0.9617027640342712,5.598354518413544,0.45652055740356445,6.866469621658325,0.8688441514968872,3.882982224225998,0.7110092639923096,6.446385562419891,0.8093617558479309,3.8038645684719086,0.18893718719482422,7.802052140235901,0.9615682363510132,3.195122629404068,0.009495392441749573,0.32873895334341796,0.9990691542625427,5.943540811538696,0.0199218943890403,0.015440108693697809,-0.015830760372473916,0.008162844167036026,0.02735371985330297,0.05151082701893403,0.996078431372549,0.029763934660793228,0.05889162346958045,0.1405837309045014,0.45337751962148437
6,0.7018482089042664,7.213078737258911,1.6762118339538574,16.177874088287354,0.7330877780914307,4.828520596027374,0.998963475227356,6.942504286766052,0.2074020951986313,13.6266577988863,0.966018795967102,3.8934250473976135,0.8198346495628357,9.604383707046509,0.6844663023948669,4.001223772764206,0.009740390814840794,1.9409018168225884,0.998963475227356,6.5973179936409,0.08169736713171005,6.948166988790035,0.9878860712051392,4.870868295431137,1.189346194267273,7.635731756687164,0.4561537802219391,4.260018348693848,0.9287047982215881,8.730756938457489,0.6061316728591919,3.80125430226326,1.6762118339538574,2.0049507872972754,0.43199416995048523,6.3755349814891815,0.00135693236659553,0.0005471569492535924,-0.008036002089433811,0.005608467251646612,0.01663588453916938,-6.671134046487559e-05,0.996078431372549,0.008168107232157008,0.01755596792308285,0.1487518381366584,0.4709334875445672
7,0.5639407634735107,7.777019500732422,1.033373475074768,17.21124756336212,0.7991482615470886,5.627668857574463,0.9875093102455139,7.930013597011566,0.8090487122535706,14.43570651113987,0.6038841009140015,4.497309148311615,0.46827152371406555,10.072655230760574,0.8829993605613708,4.884223133325577,0.506202220916748,2.4471040377393365,0.8671116232872009,7.464429616928101,1.033373475074768,7.981540463864803,0.49059388041496277,5.3614621758461,0.5796850919723511,8.215416848659515,0.8452050089836121,5.10522335767746,0.07382094860076904,8.804577887058258,0.9875093102455139,4.788763612508774,0.4771830141544342,2.4821338014517096,0.9167342782020569,7.292269259691238,-0.00043246156327866186,0.0011946765903163847,-0.012972682335359214,0.014548786455509555,0.03271263751036978,0.003156884806997551,0.996078431372549,0.013034752093281421,0.03594092043753919,0.16178659022993983,0.5068744079821064
8,1.4383732080459595,9.215392708778381,2.7575697898864746,19.968817353248596,0.5890807509422302,6.216749608516693,0.9336242079734802,8.863637804985046,2.0506513118743896,16.48635782301426,0.31359854340553284,4.810907691717148,2.414443016052246,12.48709824681282,0.2504150867462158,5.134638220071793,0.614210307598114,3.0613143453374505,0.8680890202522278,8.332518637180328,0.3331775963306427,8.314718060195446,0.9336242079734802,6.29508638381958,1.1783372163772583,9.393754065036774,0.6612158417701721,5.766439199447632,0.7202222943305969,9.524800181388855,0.8537780046463013,5.642541617155075,2.7575697898864746,5.239703591338184,0.24284422397613525,7.535113483667374,0.008738182327326583,0.032275619361330395,-0.004398448224015101,0.02795926526130396,0.0018988609822357116,0.04667543279774042,0.996078431372549,0.03372562501010811,0.05444191596406392,0.19551221524004794,0.5613163239461703
9,0.8599679470062256,10.075360655784607,2.0237531661987305,21.992570519447327,0.706908106803894,6.923657715320587,0.999935507774353,9.8635733127594,0.9115802049636841,17.397938027977943,0.6627918481826782,5.473699539899826,2.0237531661987305,14.510851413011551,0.2987407147884369,5.4333789348602295,0.000715153175406158,3.0620294985128567,0.999935507774353,9.332454144954681,0.7592818737030029,9.073999933898449,0.7622533440589905,7.057339727878571,0.8106686472892761,10.20442271232605,0.7385439872741699,6.504983186721802,1.3305872678756714,10.855387449264526,0.512398898601532,6.154940515756607,0.18318885564804077,5.422892446986225,0.9736923575401306,8.508805841207504,0.008738182327326583,0.015440108693697809,-0.004398448224015101,0.003054090336257184,-0.01551762140323136,0.04345183665027799,0.996078431372549,0.018278378856948635,0.046240524976242266,0.21379059409699658,0.6075568489224126
